,state,min,max
2018-08-17 10:24:48.701674,0.0,-3.0,3.0
2018-08-17 10:27:45.379340,-3.0,-3.0,3.0
2018-08-17 10:27:45.386340,-3.0,-3.0,3.0
2018-08-17 10:27:45.543356,-2.3333333333333335,-3.0,3.0
2018-08-17 10:27:45.547357,-2.3333333333333335,-3.0,3.0
2018-08-17 10:27:45.699372,-1.6666666666666667,-3.0,3.0
2018-08-17 10:27:45.705372,-1.6666666666666667,-3.0,3.0
2018-08-17 10:27:45.859388,-1.0,-3.0,3.0
2018-08-17 10:27:45.864388,-1.0,-3.0,3.0
2018-08-17 10:27:46.023404,-0.3333333333333335,-3.0,3.0
2018-08-17 10:27:46.028405,-0.3333333333333335,-3.0,3.0
2018-08-17 10:27:46.186420,0.3333333333333335,-3.0,3.0
2018-08-17 10:27:46.190421,0.3333333333333335,-3.0,3.0
2018-08-17 10:27:46.345436,1.0,-3.0,3.0
2018-08-17 10:27:46.352437,1.0,-3.0,3.0
2018-08-17 10:27:46.507453,1.666666666666666,-3.0,3.0
2018-08-17 10:27:46.514453,1.666666666666666,-3.0,3.0
2018-08-17 10:27:46.670469,2.333333333333333,-3.0,3.0
2018-08-17 10:27:46.675469,2.333333333333333,-3.0,3.0
2018-08-17 10:27:46.831485,3.0,-3.0,3.0
2018-08-17 10:27:46.835485,3.0,-3.0,3.0
2018-08-17 10:27:46.992501,-3.0,-3.0,3.0
2018-08-17 10:27:46.997502,-3.0,-3.0,3.0
2018-08-17 10:27:47.154517,-2.3333333333333335,-3.0,3.0
2018-08-17 10:27:47.159518,-2.3333333333333335,-3.0,3.0
2018-08-17 10:27:47.317534,-1.6666666666666667,-3.0,3.0
2018-08-17 10:27:47.322534,-1.6666666666666667,-3.0,3.0
2018-08-17 10:27:47.475549,-1.0,-3.0,3.0
2018-08-17 10:27:47.483550,-1.0,-3.0,3.0
2018-08-17 10:27:47.639566,-0.3333333333333335,-3.0,3.0
2018-08-17 10:27:47.646566,-0.3333333333333335,-3.0,3.0
2018-08-17 10:27:47.811583,0.3333333333333335,-3.0,3.0
2018-08-17 10:27:47.817584,0.3333333333333335,-3.0,3.0
2018-08-17 10:27:47.970599,1.0,-3.0,3.0
2018-08-17 10:27:47.975599,1.0,-3.0,3.0
2018-08-17 10:27:48.133615,1.666666666666666,-3.0,3.0
2018-08-17 10:27:48.149617,1.666666666666666,-3.0,3.0
2018-08-17 10:27:48.316633,2.333333333333333,-3.0,3.0
2018-08-17 10:27:48.321634,2.333333333333333,-3.0,3.0
2018-08-17 10:27:48.481650,3.0,-3.0,3.0
2018-08-17 10:27:48.486650,3.0,-3.0,3.0
2018-08-17 10:27:48.639666,-3.0,-3.0,3.0
2018-08-17 10:27:48.643666,-3.0,-3.0,3.0
2018-08-17 10:27:48.807683,-2.3333333333333335,-3.0,3.0
2018-08-17 10:27:48.811683,-2.3333333333333335,-3.0,3.0
2018-08-17 10:27:48.970699,-1.6666666666666667,-3.0,3.0
2018-08-17 10:27:48.976699,-1.6666666666666667,-3.0,3.0
2018-08-17 10:27:49.138716,-1.0,-3.0,3.0
2018-08-17 10:27:49.142716,-1.0,-3.0,3.0
2018-08-17 10:27:49.298732,-0.3333333333333335,-3.0,3.0
2018-08-17 10:27:49.303732,-0.3333333333333335,-3.0,3.0
2018-08-17 10:27:49.454747,0.3333333333333335,-3.0,3.0
2018-08-17 10:27:49.458748,0.3333333333333335,-3.0,3.0
2018-08-17 10:27:49.612763,1.0,-3.0,3.0
2018-08-17 10:27:49.618764,1.0,-3.0,3.0
2018-08-17 10:27:49.778780,1.666666666666666,-3.0,3.0
2018-08-17 10:27:49.783780,1.666666666666666,-3.0,3.0
2018-08-17 10:27:49.945796,2.333333333333333,-3.0,3.0
